"","ACH-000017","ACH-000019","ACH-000028","ACH-000044","ACH-000097","ACH-000111","ACH-000117","ACH-000147","ACH-000148","ACH-000196","ACH-000212","ACH-000223","ACH-000248","ACH-000258","ACH-000276","ACH-000277","ACH-000288","ACH-000330","ACH-000349","ACH-000352","ACH-000374","ACH-000536","ACH-000554","ACH-000568","ACH-000573","ACH-000621","ACH-000624","ACH-000642","ACH-000643","ACH-000668","ACH-000691","ACH-000699","ACH-000711","ACH-000721","ACH-000725","ACH-000755","ACH-000759","ACH-000768","ACH-000783","ACH-000818","ACH-000828","ACH-000849","ACH-000856","ACH-000857","ACH-000859","ACH-000876","ACH-000902","ACH-000910","ACH-000927","ACH-000930","ACH-000934","ACH-001388","ACH-001389","ACH-001390","ACH-001391","ACH-001392","ACH-001393","ACH-001394","ACH-001395","ACH-001396","ACH-001419","ACH-001662","ACH-001683","ACH-001705","ACH-001819","ACH-001820","ACH-002399","ACH-002401","ACH-002499","ACH-002921"
"CCND1",-1.08567596596166,-1.41507052713712,-1.97063034304789,-2.32785995319566,-1.97573129710825,-3.74780290682434,-0.95387539897716,-2.28080818139396,7.75994552878482,2.13651464575692,8.62246382908184,-2.78036288640991,-1.49984263417418,0.605195192528913,-0.703907671521465,-1.1161178985746,6.5974484717617,-3.7786047130465,-0.390381588296422,0.807090273681593,3.57111525480213,1.06530956776361,-4.72042284806574,-5.14540325988819,7.64819564397962,0.690017273751122,-3.43444995040406,2.89035266699409,-4.69045033611938,-2.29643475185176,-2.50237015361022,4.14661815105964,2.93082652227918,8.40250893294518,-4.20776735378159,-2.25076507942044,-4.26450376835313,7.71560393443337,-2.2358752746432,-4.13054127160149,-3.13274582795036,0.584723919278626,-0.279638343582944,2.05630736795609,-0.0972192328862856,-4.92470618795089,-3.08284681578188,0.9439467856711,-1.38343470699674,-0.539105328488379,3.50055472466334,-1.31239957000066,8.59705693583732,2.29287274146685,8.55803443889901,-5.040846467002,-3.63266759466698,0.231856404944179,-5.60642088957694,-4.07644392012825,0.998000756415319,-8.79104751808224,-3.62555161979562,3.56854938259995,0.559237958038258,2.84743535158097,4.89872365833886,0.734729700512558,-2.32399116699348,-6.42975205009892
"SOX2",-0.838945909922131,0.866508587187325,0.345510396976801,-1.33755368047197,-1.6748325997206,0.749751212504881,-0.119616859332498,-1.98300127160052,-2.7792991193549,0.572232176584475,-2.65293526637665,-1.65569306305492,-1.00807948393757,1.58343048785229,2.8334173607095,0.428545082660893,-3.1889860164343,-1.16138114453868,0.79300476745811,0.0167284675945488,1.00388768240667,-2.72071239914563,-0.0572972552661111,0.616847195123996,-2.8600396204137,-0.391580007720266,1.35792099448538,-0.0137619965914738,-1.3414998733777,-2.81054080981129,1.83395962812093,-0.801409958464718,-0.40056124544793,-0.74966901380859,-0.952772483348793,0.42028232135019,1.87953625722012,-4.20848377147131,-2.79131990971349,0.761410385042253,0.0661769123641917,-1.15769818533257,1.39251591992498,-0.222304311659432,-0.782613714735662,1.29412368448892,-0.120550659295614,-1.81242040034839,0.779429236277155,1.04889262189984,2.3177547797562,3.57246346104823,-1.9367320845791,-1.54301401323264,-2.09520237833833,4.48638467538593,2.87359365288395,-1.37753772502111,1.49726659025309,1.59370358500421,1.86426463715986,1.61337644902719,1.44407186900782,-0.994739612197358,3.64561980495071,2.07962607573725,-0.335746183289462,-0.221888123368839,3.62188533039098,-0.260435561767313
"GATA3",2.91836800007879,0.631934196669016,1.81645999892002,-1.88725008231546,0.960536914753675,-4.79085218476693,0.151264647211688,-0.0263423830489053,-9.84666727185384,-0.0391386640167784,2.76108318851281,3.1751686388231,3.0555110695866,0.48530038197075,1.12880556734522,0.155943395520681,-5.87511255626441,1.68352936395729,-2.01948578903548,-0.451258126531363,-1.24307275455945,1.57884889228583,1.53072356114674,-0.417104970698001,-3.69565574961917,-7.07881486453621,2.96176801046706,-0.0245610940302701,2.71247964041535,0.256064066300344,-1.16861062442619,-7.40631047382573,3.2568759766232,-2.45952411929561,-1.09795844043555,3.75082167234758,2.69808085186921,1.44479068624562,-3.66512446787883,-0.696995730115332,0.986706414569393,3.18028774107765,-2.90141364481739,4.8145861975941,3.20611595608527,0.942777036074087,-2.01965924089173,-0.588532658111714,-1.42240888590939,-5.12303162984765,1.6198057302069,0.0646427276014718,-4.63965198364244,4.89796297725625,-0.728455488707323,1.78998544448464,2.793236851761,2.72804020439695,1.72170229250141,2.45113604579478,5.51922105070949,-2.14648185511793,1.08038069098937,8.14566521474504,2.51013677513937,-1.94166666258658,5.16774192243906,3.56135177682242,-2.14368032167603,-0.736674646241788
"MYC",0.450783296174639,0.782797417778902,-0.871888771454784,-2.80899011806861,-1.70068432651605,-4.29135949976223,-3.52301842801384,-2.39315512362252,-2.28774039434726,3.40007473587106,6.34605437761796,2.27861020554818,1.3200450562599,-1.1260142628941,-2.44072078930399,-0.10889254805502,1.86771659827081,-1.51549003839869,-5.24839668317297,0.626036900482451,1.67111076925465,3.50877192875618,-0.763356232273096,-5.40824457614306,4.90605407038513,-5.41140880305233,0.945257199570275,1.09418218537167,0.177457099536198,-1.20758663448801,0.748056446799047,-0.610276096443219,5.79480893993199,5.73942884947232,-3.63117525303421,-0.475194390938113,-1.85052397396621,5.80248239642065,-4.03940508580316,-5.96961640444536,-2.67903370317657,1.01987527690777,-3.03930119865056,3.88640212227584,1.54211801181615,-5.67486042732487,-1.40177613981294,-0.264987537211878,-0.981744321221235,-0.91194373120626,0.929753788068284,-0.414029179638335,3.85688245483815,6.70233611263562,5.14676699800473,-2.32321264287614,-2.94001723153792,4.68573234199492,-2.50422784479511,0.385285015182876,5.81719921152765,-5.65662844914542,-2.70360936235977,8.67385335472961,-1.26540270849451,1.81739021510332,2.97329611445811,1.96783594892727,-4.01030692081331,-5.68500043757132
"HMGA1",2.04057853911971,-0.11957613780325,-1.09538378430602,-3.43747001776766,-2.38439080242083,-4.23159551588311,-2.77815041798685,-2.39623624426708,-2.37696606381183,1.31842635418943,4.66389772229549,3.80690746953136,1.87156226662993,0.231848927476904,-1.18469080784584,-0.16830241175031,1.78996706625879,-1.24905731052235,-5.00356740008294,-1.68504411095142,2.96468892054089,2.64028850900368,-0.493694028046251,-4.41099961614011,4.08068555677687,-5.07549182259585,1.23854628650885,0.62295098620864,-0.477922852011042,-0.496356382701025,-1.081929404683,-0.122306487033043,4.37209627428378,5.11798121768879,-3.10037694111817,0.479634612135532,-1.99732830514676,5.71590937543468,-2.69277147842973,-5.97829491959526,-2.65135214560617,2.02053755074538,-0.0103797267429466,4.86569634416987,1.56157548077992,-6.18694078594637,-1.90103124259506,-0.0448795911634512,-0.604867910737494,-2.05995360249365,1.34824170985746,-0.33079580377779,2.05815187500708,6.945250311845,4.54377012499841,-1.82586543709247,-2.42502038361727,4.50693436856455,-2.38592268619923,-0.514023379123733,5.77244251477026,-5.84146573555368,-2.80704781879903,8.20967256851737,-1.03442007338257,1.49892416384325,3.19328748966358,0.400270467222681,-2.74533212002368,-5.77795313792123
"FOS",-2.33449286337118,0.42211068732999,0.383065306471941,1.058236796661,0.733090726401394,1.42924702013127,-3.76973841366048,-1.30019043564258,4.85815828174349,-2.2155090431495,0.762473729637837,-1.80003193228414,-3.84172994314462,-1.34814001674284,-0.366935791409743,-1.81967765340725,1.61115880756648,-0.0494265670065902,0.192151214252335,-1.54318482010511,-1.98296086710833,-2.86398607974882,-0.863025928136337,2.11774729596613,-0.874842369309487,3.11296047585889,0.492448853565836,0.340613323371696,1.68790561979715,0.944363876989657,0.271992940052097,2.07841704186039,0.226273083694238,-1.83570937968124,0.122245638478453,-2.24858792134374,0.722037306859759,-1.81407199797449,-0.292722371384535,2.79508464455052,-1.63654426691061,-2.34871393294209,-0.553019446330793,-0.278616961876154,-2.41685636577149,-0.946125770257893,2.32442879064819,-2.21236615615408,-1.68103057659987,1.33251677194876,-2.18542671076989,3.12603975287675,0.907732945687056,-0.229075065318818,-1.41844250668124,2.50019995639909,0.491443536788741,-0.273953511486358,0.996473663709618,-2.04928399142507,-0.92440138819127,4.87082827940291,-0.937674025324255,-2.00251237571481,-0.745186696889029,-2.16039697751838,0.0856844182170637,1.96965203027785,1.53865193060438,3.35954188081503
"SNAI2",0.00162704725977383,-0.634308698300115,-2.75670693676391,-1.50457032714263,-3.18315772185815,1.67354481558551,-1.52780675136858,-2.26644006008863,9.58110427784712,-2.08320406064181,1.86247890765681,-3.77635953852476,-0.35080897962975,-1.47443830201581,-1.81355074313984,-1.19757020761461,5.98670502419073,-3.29767936165017,-2.29099436939834,-0.805898271001406,-1.37159102567498,-0.600419627093165,-1.2720514313819,-3.03932602174304,6.4655573907548,3.89197772906514,-2.46000834768966,2.22570275070224,-2.39507244771149,-0.0276713933345708,-1.24725134433896,6.39636483472168,-0.255003050360242,2.49700844995373,-1.649709466707,-2.50931449167051,-3.47618218534962,3.7390894632653,-0.889194548184588,-1.92536913428685,-1.36032234230384,-3.00711491302017,-3.73466632857221,-0.243438390091733,-2.48455651278555,-0.919620756256594,-2.40482597508224,-0.974522367860657,-0.547018744325516,1.3174521981431,-0.671946470254541,1.62948313115177,7.26874852732608,1.77126802851243,5.35176399962898,-1.28163211221686,-0.71323442691296,1.87999239401687,0.365706873034731,-1.50829064959904,-2.42255828095732,-1.86694427835668,-2.29610356237234,0.584480372241991,-1.61167110213533,-2.67175282371264,0.110899630508231,0.905389986993638,-0.386500745499494,-1.35560127542725
"GATA4",0.788389473664618,0.265896516559319,0.242094749330793,-0.230398729823302,0.902341678493672,-0.730759918091372,0.305080792977261,-0.968618824529029,-5.68951483774488,-0.132064475018757,-0.885957291386457,1.63413867308167,1.23470021687215,-2.29350602863189,0.938885297886866,0.0320062289844161,-6.08887356993501,-0.354847032069672,-1.39878203495114,0.122791083924093,-0.430225084359389,0.671062200244303,1.60837064253602,2.15440171130988,-1.62869958964274,-2.71178555088583,2.93012551768073,0.560530254564403,1.1531669629106,-0.992324163121774,0.516274599320406,-3.80092945770268,0.868805943022268,-2.0130640124138,-0.370147425743925,2.38764777070522,2.12145707450484,-0.986941962046463,-1.07252706486818,0.981616160820496,0.638728463236012,1.11083565378414,-2.75432135013852,3.23096942901648,1.7751898135541,2.33164412838678,-0.647615974979147,-2.22112057079011,-1.04663242676098,-0.70619315539285,2.52195708927333,1.55371997292405,-3.78779423271589,0.701233936117769,-2.03646777895253,1.87789613137166,2.47371821963784,0.497619653881718,1.46364503066118,2.08609033290153,2.96829785733998,1.1058705464082,1.61504575620038,1.73890638220573,0.738756470843102,-1.09144623746301,1.98207275565288,0.951281587526648,-0.331478175662201,-0.329516895537904
"MEF2C",-1.83548166483665,0.91188904126858,0.520321424083941,0.990556195167764,1.72317658506813,0.157961201050204,-0.619930238517746,-1.01742760360197,4.02060245246219,1.75326439818548,-0.80013706048491,-4.96592337936967,-2.42217190191841,1.5948124684355,1.09001459221233,1.20929406544972,1.51259343954204,-1.18403982674653,2.51143793316595,0.958088519471775,-3.10054644012529,-2.9954621783052,-0.311082456026328,0.272465482036199,-2.89306666940399,2.26694813208991,-1.65116308968202,0.637117527057821,-4.24632811206544,-0.602090639706098,1.03269007388623,1.28791310007403,-5.56221867000228,1.43666586648943,0.959593066985369,1.30922703936279,-1.19412515885746,-3.34518260237144,0.336511177691629,0.893112051494214,1.44703113009285,-3.25338999713427,2.98127660070205,-2.95231603329404,-1.28392344826607,-1.581128281074,0.420818813044025,1.56210931927059,1.84784313414054,1.71910445614567,-0.187351249628907,1.28575685173035,0.128934523296849,-0.746238813985267,-1.07368903158954,1.12843298791231,1.04179865148662,-1.34985790443468,2.01190464658406,-0.0355780958110786,-1.47207224661492,1.33260288395173,2.24974178619655,-2.62197552509456,-0.0454046699339767,1.30637129439261,-0.842924717628111,-0.5464115281446,-0.419065169912029,-0.262076889390138
"SALL1",0.919525145957002,3.26049741831448,2.82474265290699,1.82789599014102,-0.570104906290211,-0.39359500030129,0.100229632910364,0.173747944483816,-3.50191541397876,-0.552181162562859,-5.4271399807955,-0.463484743077781,1.58491801425033,1.79133767320151,-0.293836857195933,0.496353913958519,-0.482409440949076,0.629248349373266,0.0990874219077161,1.42499098783218,-1.79655482557988,-0.290367051748113,2.10252549270989,1.23729852369237,2.57282972589303,1.38032422920054,-0.98213996552369,-1.74077531146383,-1.55589786144588,-0.83564586440564,0.548383203538727,1.70305083470001,-1.15002982436914,0.901085577583709,1.85992180793328,1.82034529319015,3.33996216786329,-2.44878105197334,1.40718015601466,2.90367446812722,0.109836657208792,-2.87127563329407,-1.45776503428368,-3.59159633297562,-0.0871820758030459,-0.0149836959215518,3.35938482632647,0.918655861530778,1.28231685135114,2.19481800534301,0.909353506948309,0.720821811429914,-1.47557215269794,-1.6031766815709,-2.22949907698797,0.523871310495965,-0.831452696674555,-1.50688934091643,1.46029248762737,0.611927627817774,1.16837409258383,2.05172775365304,-1.40690468365815,-2.82983961589497,-0.225369523071236,-1.18742829374525,-4.57825711707583,-1.72118691645916,-2.59759528021452,1.91537154963545
